"animals","condition","elevator","lat","lon","quarter","price","rooms","size","url","distance_to_bud_center","nearest_stop_distance","nearest_stop_distance_rail"
"only small pets","renovated","no",47.5370771,19.1328086,15,170000,4,120,"https://ingatlan.jofogas.hu/budapest/15_ker_ben_4_Kulonnyilo_Szobas_Felujitott_Hazresz_Kisallattal_Is_77607130.htm",7880.21209202154,160.530784434777,834.881940464116
"only small pets","like new","yes",47.5301968,19.1832608,16,120000,3,57,"https://ingatlan.jofogas.hu/budapest/16_Keruletben_berendezett_gepesitett_lakas_azonnal_koltozheto_kiado_79142241.htm",10766.8873399685,230.689298542242,1900.57739863928
"only small pets","renovated","no",47.5149525,19.170419,16,90000,1,34,"https://ingatlan.jofogas.hu/budapest/16keruletben_Landzs_utcai_lakotelepen_34_nm_es_1_szobaslakas_kiado_79272910.htm",9293.57635819721,190.663547948597,906.89465215723
"no","renovated","yes",47.5061569,19.0808465,7,127000,1,33,"https://ingatlan.jofogas.hu/budapest/17_e_Ft_os_Rezsivel_a_BULI_Negyedben_ajanlom___a_Madach_uton_78906910.htm",2686.8815853083,123.356141385275,686.304456707694
"no","renovated","yes",47.4509153,19.1863421,18,115000,2,51,"https://ingatlan.jofogas.hu/budapest/18_Havanna_lakotelepen_felujitott_2_szobas_lakas_kiado__78739383.htm",11160.1647944889,383.663624846768,1043.25383175181
"no","good","yes",47.440313,19.171737,18,130000,1,58,"https://ingatlan.jofogas.hu/budapest/18__keruletben_kiado_alberlet__77014520.htm",10759.8185813591,54.0609892492929,542.598270036103
"no","like new","yes",47.5118127,19.1137932,14,210000,1,33,"https://ingatlan.jofogas.hu/budapest/1_2_3_honapos_berleti_lehetoseg__Gyonyoru_lakoparki_33m2_erkelyes_lak_77968707.htm",5161.99855246993,208.292585398858,581.333911540581
"no","renovated","no",47.4813044,19.0758794,9,160000,1,42,"https://ingatlan.jofogas.hu/budapest/1_5_szobas__csendes__polgari_lakas_kiado_a_Corvin_negyednel_77075787.htm",2224.24802106115,209.816433066269,247.383995316179
"no","good","yes",47.5044707,19.0503985,5,140000,1,58,"https://ingatlan.jofogas.hu/budapest/1_szoba_hallos_lakas_kiado_a_Belgrad_rakparton_78821686.htm",1334.65280387132,168.205804774914,286.087698887914
"only small pets","like new","yes",47.492394,19.0540338,5,125000,1,35,"https://ingatlan.jofogas.hu/budapest/1_szobas__butorozott_lakas_a_Fovamter_mellett_78391633.htm",199.284037908299,111.575225501001,181.206858483379
"no","good","yes",47.4926686,19.0667297,8,1e+05,1,50,"https://ingatlan.jofogas.hu/budapest/1_szobas_lakas_kiado_Budapest__Vas_utca_77928286.htm",1154.03375071452,318.799225955183,328.920994281639
"no","good","no",47.4955298,19.0119749,12,95000,1,21,"https://ingatlan.jofogas.hu/budapest/21NM_Garzon_KiadO_A_MOM_ParknAl_78843216.htm",2983.65309695257,97.7738191099863,491.058476776655
"no","good","yes",47.5061755,19.049964,5,187000,3,56,"https://ingatlan.jofogas.hu/budapest/2_1_szobas_lakas_kiado_a_Parlamentnel_79118916.htm",1526.11732670705,45.6162687573133,224.408513688335
"yes","good","yes",47.507163,19.0626615,6,187000,3,50,"https://ingatlan.jofogas.hu/budapest/2_1_szobas_lakas_kiado_az_Izabella_utcaban_79118529.htm",1839.30375464986,123.938602642028,157.30394876019
"no","like new","no",47.5582217,19.0116894,3,150000,2,55,"https://ingatlan.jofogas.hu/budapest/2_1_szobas_tegla_epitesu_ujszeru_lakas_KIADO__76424079.htm",7901.32728602476,124.158488825995,1738.30943298508
"only small pets","renovated","yes",47.5011902,19.0681462,7,220000,2,86,"https://ingatlan.jofogas.hu/budapest/2_5_szobas_teljesen_felszerelt_lakas_New_York_kavehaz_mogott_kiado_78704321.htm",1588.7909266162,92.0480302307339,141.434033588346
"only small pets","renovated","no",47.4955298,19.0119749,12,250000,3,97,"https://ingatlan.jofogas.hu/budapest/2_8_honapra_rovidtavra_kiado_lakas_a_XII_keruletben_Mom_kozeleben_78184108.htm",2983.65309695257,97.7738191099863,491.058476776655
"no","renovated","no",47.4797508,19.0480023,8,89000,1,28,"https://ingatlan.jofogas.hu/budapest/2__emeleti_felujitott_1_szobas_lakas_kiado_79031120.htm",1441.92007615171,262.266994556359,270.903121201567
"only small pets","like new","no",47.5314837,19.0109707,2,180000,3,70,"https://ingatlan.jofogas.hu/budapest/2__ker__Zoldlomb_utca_79059409.htm",5297.9389855248,225.265979150346,1764.63742750914
"no","renovated","no",47.5211027,19.0337768,2,150000,1,35,"https://ingatlan.jofogas.hu/budapest/2__kerulet_Torok_utcai_lakas_kiado_78092421.htm",3448.4887144395,144.599465067765,230.571875490231
"only small pets","renovated","yes",47.4381293,19.1009705,20,160000,2,62,"https://ingatlan.jofogas.hu/budapest/2_es_fel_szobas__beepitett_erkelyes_lakas_kiado_Pesterzsebet_kozpont_78602455.htm",7110.24803547017,59.6902580493971,329.67792372661
"no","renovated","yes",47.509914,19.035703,2,145000,2,54,"https://ingatlan.jofogas.hu/budapest/2_ker__Horvat_u__panoramas_2_szobas_lakas_78427195.htm",2269.23946427108,123.622969403214,312.587768297462
"yes","good","yes",47.5011902,19.0681462,7,235000,2,96,"https://ingatlan.jofogas.hu/budapest/2_kulonnyilo_szobas_lakas_kiado_az_Erzsebet_krt_Kiraly_utcanal_79080607.htm",1588.7909266162,92.0480302307339,141.434033588346
